Player,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
Shaq Washington,Cincinnati,American,13,1.0,2.0,50.0,31.0,0.0,0.0,15.5,15.5,180.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Covington,Indiana,Big Ten,5,3.0,12.0,25.0,31.0,0.0,2.0,2.6,-4.92,13.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Wilkins,Ole Miss,SEC,13,1.0,2.0,50.0,31.0,1.0,0.0,15.5,25.5,345.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolby Listenbee,Texas Christian,Big 12,13,1.0,1.0,100.0,31.0,1.0,0.0,31.0,51.0,690.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarvis West,Iowa State,Big 12,11,1.0,2.0,50.0,29.0,1.0,1.0,14.5,2.0,236.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Hibbard,North Carolina,ACC,12,1.0,1.0,100.0,29.0,1.0,0.0,29.0,49.0,673.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Howton,South Alabama,Sun Belt,10,1.0,1.0,100.0,28.0,1.0,0.0,28.0,48.0,665.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McCoy Hill,BYU,Ind,1,2.0,2.0,100.0,27.0,0.0,0.0,13.5,13.5,213.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Nelson,Louisville,ACC,2,4.0,7.0,57.1,27.0,0.0,0.0,3.9,3.86,89.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus McGill,Buffalo,MAC,11,1.0,1.0,100.0,26.0,0.0,0.0,26.0,26.0,318.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Burch,Louisiana Tech,CUSA,12,4.0,6.0,66.7,26.0,0.0,0.0,4.3,4.33,103.1,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royce Freeman,Oregon,Pac-12,15,1.0,1.0,100.0,26.0,1.0,0.0,26.0,46.0,648.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Ferguson,Arkansas State,Sun Belt,13,1.0,2.0,50.0,24.0,0.0,1.0,12.0,-10.5,50.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jameon Lewis,Mississippi State,SEC,10,1.0,1.0,100.0,24.0,1.0,0.0,24.0,44.0,631.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Logan Yunker,Nevada-Las Vegas,MWC,13,1.0,1.0,100.0,24.0,0.0,0.0,24.0,24.0,301.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Crump,Wake Forest,ACC,12,1.0,1.0,100.0,24.0,0.0,0.0,24.0,24.0,301.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Stratton,Wyoming,MWC,11,2.0,5.0,40.0,23.0,0.0,0.0,4.6,4.6,78.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Dudek,Illinois,Big Ten,13,1.0,1.0,100.0,22.0,0.0,0.0,22.0,22.0,284.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Sheperd,Oklahoma State,Big 12,13,1.0,1.0,100.0,22.0,0.0,0.0,22.0,22.0,284.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shay Fields,Colorado,Pac-12,12,1.0,1.0,100.0,21.0,0.0,0.0,21.0,21.0,276.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Iosefa,Hawaii,MWC,6,2.0,3.0,66.7,20.0,1.0,0.0,6.7,13.33,232.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bo Hines,North Carolina State,ACC,13,1.0,3.0,33.3,20.0,0.0,0.0,6.7,6.67,89.3,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Hogan,Arkansas State,Sun Belt,13,3.0,6.0,50.0,18.0,0.0,0.0,3.0,3.0,75.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake Johnson,Michigan,Big Ten,12,1.0,1.0,100.0,18.0,0.0,0.0,18.0,18.0,251.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shadrach Thornton,North Carolina State,ACC,13,1.0,1.0,100.0,18.0,1.0,0.0,18.0,38.0,581.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aregeros Turner,Northern Illinois,MAC,14,1.0,1.0,100.0,18.0,0.0,0.0,18.0,18.0,251.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Wallace,Auburn,SEC,7,1.0,1.0,100.0,17.0,0.0,0.0,17.0,17.0,242.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayme Taylor,Northwestern,Big Ten,12,1.0,1.0,100.0,17.0,1.0,0.0,17.0,37.0,572.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Meyer,Wisconsin,Big Ten,14,1.0,1.0,100.0,17.0,0.0,0.0,17.0,17.0,242.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalton Schomp,Florida Atlantic,CUSA,12,1.0,2.0,50.0,16.0,0.0,0.0,8.0,8.0,117.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demornay Pierson-El,Nebraska,Big Ten,13,1.0,1.0,100.0,16.0,1.0,0.0,16.0,36.0,564.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.J. Bostic,Georgia Tech,ACC,14,1.0,1.0,100.0,15.0,0.0,0.0,15.0,15.0,226.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Stover,Louisiana,Sun Belt,13,1.0,1.0,100.0,14.0,0.0,0.0,14.0,14.0,217.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Fitzpatrick,Temple,American,12,1.0,1.0,100.0,14.0,0.0,0.0,14.0,14.0,217.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Hinder,California,Pac-12,1,1.0,3.0,33.3,13.0,0.0,0.0,4.3,4.33,69.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Spencer,Ohio State,Big Ten,15,1.0,1.0,100.0,13.0,1.0,0.0,13.0,33.0,539.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Vigil,Utah State,MWC,14,2.0,2.0,100.0,13.0,0.0,0.0,6.5,6.5,154.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Mullins,UAB,CUSA,12,1.0,1.0,100.0,12.0,0.0,0.0,12.0,12.0,200.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
